url,text,date
https://www.courts.ca.gov/7705.htm,"Title:Associate Justice, Court of Appeal, First Appellate District, Division Three Judicial Positions: Present: Associate Justice, Court of Appeal, First Appellate District, Division Three; appointed March 15, 1995, re-elected 1998. Prior Positions: Superior Court, Alameda County, September 1988, re-elected 1990. Oakland Municipal Court, October 1985, re-elected 1986. Educational/Scholastic Achievements: Graduate, San Francisco State, 1971,magna cum laude Graduate, University of San Francisco, School of Law, 1974 Judicial Activities and Associations: Member, Judicial Council, 1991-1993 Chair, Rules and Forms Committee, 1993 Court Technology Advisory Committee, 1997-2002; Chair, 2001-2002 American Bar Association Executive Committee:National Conference of State Trial Judges,1992-1995 Delegate:National Conference of State Trial Judges,1991-1992 Editorial Board:The Judges' Journal,1996-1997 California Judges Association Member, 1985-present Executive Committee, 1993-1995 Ethics Committee, 1996-1998 (Chair 1996) Chair, Educational Planning & Coordinating Committee, 1990-1992 Chair, Courts and Technology Committee, 1987 Chair, Annual Meeting, 1998 Italian American Bar, member California Women Lawyers Professional Experience: Deputy District Attorney, Alameda County District Attorney's Office (8 years) Private Practice: Civil Practice and Criminal Defense (3 years) Adjunct Faculty: University of San Francisco School of Law, 1992-present Honors and Awards: President's Award for Outstanding Service,California Judges Association,1995 Outstanding Service Award,Volunteers in Parole Program,1986 Community Service: Advisory Board Member and participant,Volunteers in Parole Program,1984-1988 Advisory Board Member:A Friendly Place,Oakland Women's Shelter, 1991-present Board of Trustees Member:Chanticleer,San Francisco (men's a cappella choir), 1994-2000 Executive Board,Commonwealth Club, 1998-2001",03/15/1995-10/02/2002
https://www.courts.ca.gov/7702.htm,"Associate Justice State of California Court of Appeal First Appellate District, Division One Marathon Plaza - South Tower 303 Second Street, Suite 600 San Francisco, CA 94107 Telephone: (415) 396-9670 Fax Number: (415) 243-8912 e mail: justice_r._dossee@1dca.jud.state.ca.us GENERAL BACKGROUND Native and resident of San Francisco, California EDUCATION St. Ignatius High School, San Francisco University of Santa Clara, B.S. degree in Political Science University of San Francisco School of Law MILITARY Commissioned as a Second Lieutenant in the United States Army, upon graduating from the University of Santa Clara and, after fulfilling active duty and reserve commitments, was honorably discharged as a Captain. LEGAL EXPERIENCE 1990 - Appointed to California Court of Appeal by Governor George Deukmejian where continuing to serve as an Appellate Justice. 1979 - Appointed by Governor Edmund Brown, Jr. to the San Francisco Superior Court where served until 1990 as a Trial Judge in both the criminal and civil courts. Additional assignments included management of all asbestos litigation in San Francisco (approximately 2,600 cases), general civil trials, one of four judges assigned to the Fast Track trial court experiment under California Assembly Bill 3300, and Assistant Presiding Judge. 1972 - Appointed by Governor Ronald Reagan to the San Francisco Municipal Court. Served until 1979 as Trial Judge in both civil and criminal courts, as well as Presiding Judge. As an attorney for twelve years, specialized in personal injury trial practice and insurance law with the law firm of Hauerken, St. Clair, Zappettini & Hines and the trial staff defending the State Division of Highways throughout California. Upon graduation from Law School received a one year appointment as Law Clerk for the Honorable M. Oliver Koelsch, United States 9th Circuit Court of Appeal. JUDICIAL HONORS & ACTIVITIES Served as a faculty member, lecturer, seminar leader and moderator of numerous programs for the California Center for Judicial Education and Research, the California Judicial College, the California Judges' Association, the Rutter Group, the Continuing Education of the Bar and the American Inns of Court. The subject matter of these programs has included insurance litigation, personal injury and settlement, civil law and procedure, the contempt power, asbestos litigation, child abuse and family violence cases, trial practice and criminal law and procedure. In 1997 served as lecturer and seminar leader at Vietnamese Judges’ Seminar in Ho Chi Minh City. This five day program was sponsored by the University of San Francisco and the Netherlands Organization for International Development and Cooperation. In 1997 appointed by Hon. Ronald M. George, Chief Justice of California, to serve as chairperson of Judicial Council’s Mediation Task Force. Elected Assistant Presiding Judge of San Francisco Superior Court in 1990. From 1990 to the present, member of Settlement Committee of Court of Appeal, State of California, First Appellate District. Recipient of Trial Judge of the Year Award (1988) by San Francisco Trial Lawyers' Association. Co-author of Part V of the California Judicial College Notebook, dealing with the subject of contempt; published in 1978, with subsequent supplements. Presiding Judge of all courts of the criminal division, San Francisco Superior Court, July 1981 - July 1982. Elected Presiding Judge of San Francisco Municipal Judge in November 1978. In 1978, appointed to the Civil Law and Procedures Committee of the California Judges' Association. In 1977, appointed to the California State Bar Committee on Criminal Procedures. ORGANIZATIONS Commonwealth Club of California, Chairperson of International Relations Committee (1995 to the present); Quarterly Chairman (1979) Director for University of San Francisco Law Society (1976 - 1979) University of San Francisco Alumni Association University of Santa Clara Alumni Association Lawyers Club of San Francisco St. Thomas More Society Hibernia Newman Club California Judges Association Former member of March of Dimes Board of Directors Former member of San Francisco Special Olympics, Advisory Board",07/01/1972-09/01/1990
https://www.courts.ca.gov/7656.htm,"Associate Justice, Court of Appeal, First Appellate District, Division Two; appointed by Governor Pete Wilson, 1996.
Appointed Judge of the Alameda County Superior Court, July 1989, by Governor George Deukmejian. Partner, law firm of Fitzgerald, Abbott and Beardsley 1975-1989.
California State Bar Access to Justice Commission 1997; Chairman, Judicial Council Committee for Certification of Interpreters for the Deaf 1992-1996; Executive Board, California Judges Association 1995-1996; Faculty and Planning Committee, California Center for Judicial Education and Research, 1992-1994; Executive chairman, Alameda County Bar Association Foundation, 1986-1989; Board of Directors, Alameda County Bar Association, 1988-1989; California State Bar Joint Advisory Committe for Continuing Education 1988-1989; co-founder and counsel for Bay Area Center for Law and the Deaf (BACLAD) 1979-1982; Instructor of Law, Peralta Community College District 1980 (Lifetime Certificate.)
Admitted to California Bar December 1975; Hastings College of the Law, J.D., 1975; University of California at Berkeley, B.A. with Honors in Political Science, 1972; Sunset High School, Hayward, California.
Born May 4, 1950, Oakland, California",05/04/1950-07/1989/1988-12/1975
https://www.courts.ca.gov/7709.htm,"Title: Presiding Justice, Court Of Appeal, First Appellate District, Division Three Judicial Positions: Present: Presiding Justice; Dates: April 11, 1996 Governor: Wilson Prior Positions: 1. Associate Justice, Court of Appeal First Appellate District, Division Two Dates: September 25, 1992 - April 10, 1996 Governor Wilson 2. Superior Court, Contra Costa County Dates: May 29, 1985 - September 24, 1992 Governor Deukmejian 3. Municipal Court, Walnut Creek-Danville Judicial District, Contra Costa County Dates: January 8, 1979 - May 28, 1985 Election: November 7, 1978 Educational/Scholastic Achievements: University of California, Berkeley, AB Criminology 1955 University of California, Boalt Hall, LL.B. 1962 Judicial Activities and Associations: California Judges Association, since 1979 Faculty - Municipal/Justice Court New Judge Orientation course (CJER) 1981 - 1985 - continuing judicial studies program, mid-career judges college (CJER) 1984 Professional Experience: Chief Assistant District Attorney, Contra Costa County 1970-1978 Deputy Attorney General, California Department of Justice 1962-1965, 1967-1970 Private Law Practice, 1965-1966 U.S. Marine Corps, Infantry, 1955-1959; active reserve 1959-1985; retired with the rank of colonel Family and Interest/Hobbies: Married to Susan Lanzit, January 1956; three sons, six grandchildren Antique car restoration, hunting, fishing, skiing",04/11/1996-09/24/1992
https://www.courts.ca.gov/7666.htm,"Presiding Justice, California Court of Appeal, First Appellate District, Division 5
Justice Jones was confirmed as Presiding Justice of Division 5 of the First District, Court of Appeal in September 1998, the first woman to serve as a presiding justice in the First District. In December 1996, she was confirmed as Associate Justice of Division 5. Justice Jones retired from the Court of Appeal in September 2020. She was appointed Judge of the San Francisco Superior Court in January 1992, and reelected in November 1992. Judge Jones served in the Superior Court civil and criminal divisions, and its appellate department.
Justice Jones received her undergraduate degree from Duke University in 1965 and her JD degree from University of San Francisco, School of Law in 1974. She was a member of the University of San Francisco Law Review and McAuliffe Society, the academic honor society.
In 1995 Justice Jones was appointed by the California Supreme Court to its Advisory Committee on the Code of Judicial Ethics, charged with drafting a new code of ethics for California judges. She has advised the Supreme Court ever since on issues related to California’s Code of Judicial Ethics as a member of the Advisory Committee.
Throughout her legal career, Justice Jones has taught countless continuing legal and judicial education programs. She has been on the faculty and Planning Committees for California Center for Judicial Education and Research, Civil Law and Procedure Institutes and has served on various Judicial Council advisory committees and work-groups.
Justice Jones was honored by the National Association of Women Lawyers in 2003 with its President's Award in recognition of her work in judicial ethics, and by the San Francisco Trial Lawyers Association in 2005 as Appellate Justice of the Year. In 2009 Queen's Bench Bar Association of the San Francisco Bay Area awarded Justice Jones its Lifetime Achievement Award. Justice Jones was President of Queen's Bench in 1983; she is a lifetime member of Queen's Bench and California Women Lawyers. She was President of the University of San Francisco, School of Law alumni association in 1984, and a founding member of the USF School of Law Women Lawyers Committee.
For over sixteen years prior to her judicial appointment, Justice Jones practiced civil litigation, emphasizing general business and personal injury matters. Before attending law school--during which she worked full-time--she was an elementary school teacher and an editor of social studies textbooks. She spends many extra-judicial hours road cycling.
<< back",09/22/1998-09/01/2020
https://www.courts.ca.gov/7715.htm,"Associate Justice Judicial and Professional Positions: Associate Justice, 1994 - Present (Appointed 1994; confirmed by voters, 1994). Judge, Alameda County Superior Court 1991-1994 (Appointed 1991; elected by voters. 1992). Judge, Oakland, Emeryville Piedmont Judicial District 1987-1991 (Appointed, 1987; elected by voters, 1988). Senior Deputy District Attorney, Alameda County 1985-1987; Deputy District Attorney, same county, 1975-1985. Professional Activities: California Judicial Council, 1997-present. Judicial Council Task Force on Jury Instructions, 1997-present (Chair). Commission on Future of California’s Courts 1991-1994. Center for Judicial Education & Research, Governing Board, 1994-1997. President’s Commission on Organized Crime, 1983-1986. Special Consultant, President’s Task Force on Victims of Violent Crime, 1982. Adjunct Professor of Law: U.C. Berkeley, Boalt Hall School of Law, 1984-1987, 1990-1994; U.C. Hastings College of Law, 1981-1987, 1989; University of San Francisco School of Law, 1988-1990; University of Puget Sound School of Law, 1981. Faculty: California Judicial College, 1988-present; Continuing Judicial Studies Programs, 1989-present; National Institute of Trial Advocacy, 1981-present (Distinguished Faculty Award, 1997). Community Involvement: Board of Directors: Holy Names College 1988-present (Chair, 1990-present); Saint Vincent’s Day Home, 1982-present (Chair, 1991-present); Goodwill Industries of the Greater East Bay, 1985-1989. Education: B.A., magna cum laude, Holy Names College, 1970 (Student Body President, Founder’s Medal). J.D., Univ. of California, Hastings College of the Law, 1975 (Law Journal, Note and Comment Editor). Doctoral program, Clinical Psychology, Saint Louis University, 1970-1972. Personal: Born: August 16, 1948, Stockton, California.",08/16/1970-Present
https://www.courts.ca.gov/7658.htm,"William R. McGuiness was appointed Administrative Presiding Justice of the First Appellate District on January 28, 2002. He is also Presiding Justice of the First Appellate District, Division Three, having served in that position since December 21, 1998. Previously he served on the Alameda County Superior Court from 1986 until elevated to the Court of Appeal in 1997 as an Associate Justice of the First Appellate District, Division Four. As a Superior Court Judge, he discharged a broad range of criminal and civil judicial assignments. He was elected Presiding Judge of the Court by his colleagues in 1994 and 1995 and was Chair of the Alameda County Superior Court Executive Committee and a member of the Judicial Council Trial Court Presiding Judges Standing Advisory Committee.
He served in the United States Department of Justice in Washington D.C. as a Deputy Associate and Associate Deputy United States Attorney General from 1983 to 1986. In 1982 he was a consultant to the United States Department of Justice and counsel to the President's Task Force on Victims of Crime. He commenced his legal career in the Alameda County District Attorney's Office as a Deputy District Attorney from 1973 to 1980, and served as a Senior Deputy District Attorney from 1980 to 1983.
Justice McGuiness has represented the Court of Appeal, First Appellate District, the Alameda County Superior Court, the United States Department of Justice, and the Alameda County District Attorney's Office on various committees and educational panels throughout his career. He has also served as a member of the American Inn of Court of Alameda County (1996-1999), California Judges Association Appellate Courts Committee (1998-2002), Judicial Council Appellate Indigent Defense Oversight Advisory Committee (1998-2002), Judicial Council Administrative Presiding Justice Advisory Committee (2002-present), and as Chair of the Judicial Council Subordinate Judicial Officer Working Group (2001-2002).
Justice McGuiness is a graduate of Santa Clara University ('68) and the University of San Francisco School of Law ('72). He and his wife Mary, an elementary school principal, have two adult children.",01/28/2002-12/21/1998
https://www.courts.ca.gov/7707.htm,"ASSOCIATE JUSTICE, FIRST DISTRICT COURT OF APPEAL, Division Five Appointment/Election: Appointed [succeeding Justice Barbara Jones, elevated to Presiding Justice] by Governor Wilson, August 15, 1998. Other Judicial Office: Judge, Superior Court, San Mateo County, appointed to newly-created position by Governor Deukmejian March 20, 1989 (oath March 23, 1989), elected in 1990 (unopposed), and reelected in 1996. Presiding Judge, 1993. Assistant Presiding Judge, 1992. Presiding Criminal Judge, 1990 and 1996. Judge, Municipal Court, San Mateo County Judicial District, San Mateo County, December 30, 1986 (date of oath) to March 23, 1989, appointed [succeeding Judge Richard Gravelle, deceased] by Governor Deukmejian December 23, 1986 (oath December 30, 1986.) Past Employment: Assistant District Attorney, San Mateo County, 1982-86 (prosecuted murder cases, and led prosecution against former police officer Anthony Jack Sully, who was sentenced to death for 6 grisly, sadomasochistic, cocaine-and-prostitution linked murders in San Mateo County). Private law practice: Bend, Oregon, 1979-82 (partner, handling civil litigation and criminal defense, Forcum, West, Stevens & Parker, 1980-82; and partner, Robinson and Stevens, 1979-80); Sacramento, Calif., 1974-76 (associate, Johnson, Greve, Clifford & Diepenbrock); and Los Angeles, Calif. 1996-71 (associate, Stephens, Jones, LaFever & Smith). Supervising Deputy District Attorney (1976-79) and Deputy District Attorney (1971-74), Sacramento County. Memberships/Awards: Member: Calif. Judges Assn., 1986-; American Judges Assn., 1987-; American Arbitration Assn., 1970-; and Board of Directors, Bay Area Missing Children's Project, 1987-. Inductee: Menlo School & College Athletic Hall of Fame, 1987. Former member: San Mateo County Bar Assn., 1982-86. Director: Goodwill Industries, Sacramento, Calif., 1965-69. Teaching/Lectures/Panelist: Faculty, Hastings Center for Trial and Appellate Advocacy, 1986-. Education: J.D. (June 13, 1968), Hastings College of the Law, San Francisco, Calif.; B.S. (August 7, 1965, cum laude), Univ. of Southern Calif., Los Angeles (sports scholarship; played football; track and field; ranked 3rd nationally in decathlon; member, Sigma Chi fraternity, 1961-65, and held all offices at local chapter, 1962-64); Graduate (1961), Menlo High School, Menlo Park, Calif. Born: December 10, 1942; Vallejo, Calif.; Divorced. Three children. Interests: Enjoys running, bicycling, and all sports including underwater photography, scuba diving, and spear fishing. Admission: Admitted to Calif. bar and to U.S. Dist. Court, Central Dist. of Calif., January 9, 1969; and to Oregon Bar October 10, 1979. Political Affiliation/Religion:Republican; Episcopalian Office Address:350 McAllister Street, San Francisco, CA 94102 Office Phone:(415) 865-7340",08/15/1998-03/23/1989
https://www.courts.ca.gov/7664.htm,"Justice Sepulveda was appointed by Governor Wilson to the Court of Appeal, First Appellate District, Division Four on December 21, 1998. Previously she served on the Contra Costa Superior Court after her appointment by Governor Deukmejian on October 13, 1989. As a Superior Court judge she served in a number of assignments, including Probate Judge, Supervising Judge of the Family Law Division, Supervising Judge of the Criminal Division, Criminal Calendar Judge, Assistant Presiding Judge of the Unified Courts of Contra Costa County and at the time of her elevation to the appellate bench she was Presiding Judge-Elect of the Superior Court. During her assignments as a general trial judge, Justice Sepulveda presided over complex criminal trials including death penalty cases. She served in a variety of administrative positions including the Executive Committee, as Chair of the Court Security Oversight Committee, the Budget Committee and as Chair of the Criminal Trials Committee. Prior to her appointment to the bench, Justice Sepulveda served as a Deputy District Attorney in Contra Costa County for eleven years, handling all types of criminal cases and serving in various administrative positions including heading the Sexual Assault and Child Abuse Unit and the Juvenile Division. She graduated from Hastings College of the Law in 1977, having written for and served as a Note & Comment Editor on the Constitutional Law Quarterly. Justice Sepulveda graduated Summa Cum Laude from U.C. Berkeley in 1974, receiving her B.A. in Psychology. Justice Sepulveda is a member of the California Judges Association and has been active in judicial education throughout her career on the bench. She has chaired or served on numerous planning committees for judicial conferences and has taught many times at the Judges' College, New Judge Orientation, the Continuing Judicial Studies Program and the Criminal and Family Law yearly institutes. She was a member of the Sentencing Committee for the Judicial Council, which was charged with revising the Rules of Court re: Determinate Sentencing in 1989. She served as a judicial representative on the statewide Restitution Committee. She has served on the statewide Trial Court Budget Commission (the T.C.B.C.), and on its Executive and Budget Evaluation and Appeals Committees, since 1995. She served as Chair of the Budget Evaluation and Appeals Committee and just prior to her elevation to the appellate bench was appointed by the Chief Justice as Vice-Chair of the T.C.B.C.",12/21/1998-10/13/1989
https://www.courts.ca.gov/7701.htm,"Judicial Positions: Associate Justice, First District Court of Appeal, Division Five (January 2002 to present) Judge of the Superior Court, San Mateo County (elected, 1996- 2001)Assignments included: civil and criminal trials, law and motion, complex litigation; Chair Personnel Committee; Chair Complex Litigation Committee Professional Experience: Partner, Corey, Luzaich, Gemello, Manos & Pliska (1984-1996) Associate, Corey, Orton, & Luzaich (1980-1984) Instructor, Santa Clara University English Department (1970-71, 1975) Teacher, Los Altos High School English Department (1967-1970) Education: J. D., 1979, Santa Clara University M. A. in English, 1971, Santa Clara University B. A. in English, 1966, Santa Clara University Community Involvement: Co-chair, Community Strategic Planning Committee for the Courts (conducted a series of public forums listening to/and acting on public concerns about the justice system) Board of Directors, Jesuit Volunteer Corps Southwest (places college graduate volunteers in social service programs for one year in partnership with AmericaCorps) Chair, Board of Directors, Marian Wright Edelman Institute for the Study of Children, Youth and Families, San Francisco State University (programs include San Francisco Head Start Program) Soroptimist International of Millbrae-San Bruno Women of Distinction Award for contributions to the community San Mateo Union High School District GATE Mentor President, St. Dunstan School Board President, St. Dunstan Women's Club Constitutional Rights Foundation High School Mock Trials county organizer Girls' Commissioner and Coach, American Youth Soccer Association Professional Activities and Awards: President, San Mateo County Bar Association Eleanor Falvey Award for Women in Leadership President, San Mateo County Trial Lawyers Association Trial Judge of the Year 2000 President, North San Mateo County Bar Association Legal Aid Society Honoree for Leadership in Providing Legal Services to Low Income Citizens Faculty, Stanford Law School Advocacy Skills Program (1994-present) State Bar of California Appointed to Judicial Nominees Evaluation Commission Member, California Judges Association Member, California Women Lawyers Personal Data: Birthdate May 16, 1945. Married, two children.",05/16/1945-01/02/2002-01/01/2001
