url,summary
https://www.courts.ca.gov/documents/6DCA-Habeas-Attorney-Applicants.pdf,"The Sixth District Court of Appeal is looking for lawyers to represent inmates in death penalty-related habeas corpus proceedings in the superior courts. If you are interested in applying, you must meet certain qualifications and submit an application. Attorneys with their principal place of business in the Sixth District should submit their applications electronically, while attorneys with their principal place of business in other locations in California should submit their applications to the regional committee with jurisdiction over their principal place of business. Attorneys with their principal place of business outside the State of California should submit their applications to the regional committee for the First District Court of Appeal."
https://www.courts.ca.gov/documents/DCA-Guide-To-Electronic-Appellate-Documents.pdf,"This guide provides instructions on how to create electronic documents to be filed with the California Courts of Appeal and Supreme Court. It focuses on using Microsoft Word and Adobe Acrobat Pro XI. It outlines the steps for creating electronic appellate briefs, original proceedings, and other documents. It also explains how to paginate, create bookmarks, redact, and make text searchable. It is important to follow the court's rules and local regulations for formatting electronic documents."
https://www.courts.ca.gov/documents/ctappbro.pdf,"The California Courts of Appeal are intermediate courts of review that ensure the law is interpreted and applied correctly. They review appeals from cases heard in a superior court and other matters prescribed by statute. The state is divided into 6 appellate districts, with 19 divisions and 101 justices. An appeal is a request to a higher court to review a decision made in a completed trial or proceeding. The Courts of Appeal decide questions of law and do not hear testimony or retry cases. The process involves filing a notice of appeal, submitting briefs, and hearing oral arguments. A concurrence of two out of the three justices is necessary to form a majority opinion. The California Supreme Court and the U.S. Supreme Court can review decisions of the Courts of Appeal."
https://www.courts.ca.gov/documents/4DCA-Prop66-Recruitment.pdf,"The Fourth District Court of Appeal is looking for lawyers to represent people who have been sentenced to death in their habeas corpus proceedings in the superior courts. If you are interested in applying, you can find the qualification criteria and application for appointment on the links provided. If you have your principal place of business in the Fourth District, you should send your completed application and materials to the email or postal address provided."
https://www.courts.ca.gov/documents/4dca-div1-Guidelines-for-E-Reporters-Transcripts.pdf,"This set of guidelines outlines the requirements for electronic court transcripts. The document must be numbered, have a master index, and be bookmarked. It must be searchable and not password protected. Hyperlinks are encouraged and there should be no additional cost to the court."
https://www.courts.ca.gov/documents/4DCA-Appellate-Self-Help-Workshop-2023.pdf,"This is a workshop for high school students who are parties to an unlimited civil case on appeal from the superior court to the Court of Appeal. It will teach important information about what is required at the Court of Appeal, especially if the student does not have an attorney. The workshop is free and will be held virtually via Zoom. It will provide helpful hints on how to fill out forms and comply with the court’s rules and procedures. It will not provide legal advice or handle the student's appeal. The workshop will take place on the third Tuesday of each month in 2023."
https://www.courts.ca.gov/documents/dca-TrueFiling-Quick-Start-Guide.pdf,"TrueFiling is an online filing system for legal documents. This guide explains how to log in, add attorneys and staff to your firm, set email notifications, initiate a case, search for a case, add a firm member as a case contact, add a new contact to a case and to your firm, add registered opposing counsel as a case contact, create a bundle and its filings, add a connected document, submit the bundle, change a filing property to ""serve only"", download the proof of service, download an official file stamped copy, download a filing's payment receipt, and add a payment account."
https://www.courts.ca.gov/documents/4DCA-Electronic-Devices-in-the-Courtroom.pdf,"Courts of Appeal in California have adopted a policy allowing the use of laptop computers and tablets in court rooms during oral arguments. These devices must be silenced and placed in ""airplane mode"" at all times. They can only be used by lawyers or self-represented litigants to aid in presenting oral argument and cannot be used to display evidence. Cellular phones and other electronic devices are not allowed and no audio or video recording or photography is permitted without following the California Rules of Court. Anyone who does not follow this policy will be removed from the court room."
https://www.courts.ca.gov/documents/Fee_Schedule_07.01.23_5DCA.pdf,
https://www.courts.ca.gov/documents/5DCA-Prop66-Recruitment.pdf,"The Court of Appeal, Fifth Appellate District is looking for lawyers to represent people sentenced to death in their habeas corpus proceedings in the superior courts. If you are interested in applying, you can find the qualification criteria and application on the website provided. If you are a lawyer with your principal place of business in the Fifth District, you should send your completed application and materials to the email address provided."
